Latitude,Longitude,Soil_type,Crop_type,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Avail_Cu,Avail_Mn
14.08,77.69,Mixed soil,G.Nut,6.19,0.07,0.18,7.13,41,587,101,5.16,0.3,0.17,8.89,0.51,15.24
14.09,77.69,Redsoil,G.Nut,8.4,0.33,0.31,10.34,102,811,261,9.91,0.36,0.57,3.24,0.44,6.9
14.09,77.69,Mixed soil,G.Nut,7.1,0.11,0.17,8.46,46,582,48,3.77,0.37,0.19,5.54,0.42,8.34
14.1,77.7,Sandi soil,Horsegram,8.3,0.21,0.2,2.31,35,3048,52,4.14,0.23,0.21,1.79,0.67,4.17
14.09,77.69,Mixed soil,Horsegram,6.4,0.06,0.22,6.08,76,511,84,1.45,0.36,0.22,22.26,0.45,9.2
14.09,77.69,Redsoil,G.Nut,7.78,0.14,0.21,5.68,44,1161,71,2.2,0.69,2.38,2.83,0.64,4.41
14.09,77.69,Mixed soil,G.Nut,6.3,0.06,0.28,2.08,51,612,122,4.54,0.59,0.28,7.11,0.56,17.07
14.09,77.69,Red soil,G.Nut,6.25,0.07,0.31,1.98,42,1016,172,4.2,0.35,0.32,7.29,0.6,17.39
14.1,77.7,Black Soil,G.Nut,6.32,0.09,0.16,1.32,62,825,309,2.77,0.23,0.22,4.45,0.58,7.64
14.08,77.69,Mixed soil,G.Nut,7.91,0.21,0.25,2.21,60,1977,216,2.89,0.18,0.23,3.23,0.82,5.71
14.08,77.69,Sandi soil,G.Nut,7.76,0.2,0.14,2.06,58,1428,102,12.33,0.18,0.19,2.8,0.47,6.81
14.08,77.69,Sandi soil,G.Nut,8.2,0.11,0.24,2.14,46,3193,76,2.88,0.12,0.36,2.25,0.56,4.44
14.08,77.69,Red soil,G.Nut,6.29,0.09,0.22,1.34,60,799,290,4.63,0.28,0.29,4.94,0.61,10.05
14.08,77.69,Sandi soil,G.Nut,8.22,0.13,0.13,1.56,73,2761,75,3.4,0.16,0.32,2.89,0.89,7.55
14.08,77.69,Mixed soil,G.Nut,5.66,0.04,0.23,1.32,28,1080,219,4.45,0.25,0.3,11.71,0.7,23.15
14.1,77.7,Red soil,G.Nut,6.55,0.05,0.12,3.0,50,724,80,1.91,0.36,0.24,8.78,0.53,5.81
14.1,77.69,Mixed soil,G.Nut,6.34,0.08,0.26,2.31,37,819,92,5.05,0.55,0.31,12.0,0.76,29.67
14.09,77.69,Black Soil,G.Nut,7.8,0.12,0.31,4.36,53,2473,84,1.75,0.22,0.21,6.02,0.53,10.32
14.09,77.69,Red soil,G.Nut,6.97,0.12,0.49,3.45,67,1429,303,5.9,0.37,0.33,8.7,1.57,18.78
14.06,77.64,Black Soil,G.Nut,7.45,0.13,0.3,3.78,95,948,78,4.57,0.6,0.23,4.63,0.5,10.34
14.06,77.64,Sandi soil,G.Nut,7.17,0.03,0.17,1.41,71,907,84,1.06,0.21,0.18,3.99,0.54,9.22
14.06,77.64,Mixed soil,G.Nut,8.25,0.11,0.2,1.49,82,2683,92,3.96,0.25,0.39,2.83,0.63,6.04
14.06,77.64,Mixed soil,G.Nut,8.65,0.11,0.15,1.72,62,1658,131,12.31,0.27,0.27,2.96,0.45,6.29
14.06,77.64,Red soil,G.Nut,6.8,0.07,0.15,1.46,66,1022,225,8.72,0.22,0.16,9.67,0.78,11.86
14.06,77.64,Red soil,G.Nut,6.01,0.08,0.22,3.4,57,318,70,3.75,0.78,0.18,7.12,0.35,13.23
14.06,77.65,Red soil,G.Nut,8.4,0.14,0.39,11.51,117,2748,274,3.05,0.32,0.66,2.51,0.82,3.56
14.06,77.65,Mixed soil,G.Nut,8.23,0.08,0.24,2.23,112,2179,63,2.06,0.25,0.31,2.47,0.85,5.26
14.07,77.65,Red soil,G.Nut,7.03,0.07,0.2,3.29,117,859,128,4.55,0.27,0.26,6.06,0.81,9.03
14.12,77.65,Redsoil,G.Nut,8.51,0.18,0.2,6.86,79,1087,167,5.36,0.37,0.48,1.89,0.36,3.29
14.13,77.66,Redsoil,G.Nut,5.31,0.06,0.22,2.98,75,394,66,4.67,0.29,0.25,10.26,0.41,14.88
14.11,77.65,Redsoil,G.Nut,8.3,0.1,0.26,7.57,89,2276,203,2.77,0.31,0.38,3.72,0.57,2.59
14.11,77.65,Redsoil,G.Nut,8.15,0.13,0.32,11.18,96,2561,151,3.6,0.49,0.41,4.06,0.56,4.26
14.12,77.65,Redsoil,G.Nut,8.2,0.31,0.36,10.72,86,1965,213,28.03,0.36,0.53,9.02,0.73,8.31
14.13,77.65,Redsoil,G.Nut,8.57,0.16,1.41,14.39,93,2642,426,7.75,0.53,1.01,9.1,0.71,2.94
14.12,77.65,Redsoil,G.Nut,9.02,0.44,0.56,8.78,117,2374,684,23.96,1.05,1.07,9.75,1.32,2.89
14.12,77.65,Redsoil,G.Nut,7.9,0.19,0.88,19.0,265,1925,444,8.36,0.97,1.13,2.48,1.2,10.55
