Latitude,Longitude,pH,EC,Avail-P,Exch-K,Avail-Ca,Avail-Mg,Avail-Zn,Avail-Fe,Avail-Cu,Avail-Mn,Crop_Label
14.08,77.69,6.19,0.07,7.13,41,587,101,0.3,8.89,0.51,15.24,G.Nut
14.09,77.69,8.4,0.33,10.34,102,811,261,0.36,3.24,0.44,6.9,G.Nut
14.09,77.69,7.1,0.11,8.46,46,582,48,0.37,5.54,0.42,8.34,G.Nut
14.1,77.7,8.3,0.21,2.31,35,3048,52,0.23,1.79,0.67,4.17,Horsegram
14.09,77.69,6.4,0.06,6.08,76,511,84,0.36,22.26,0.45,9.2,Horsegram
14.09,77.69,7.78,0.14,5.68,44,1161,71,0.69,2.83,0.64,4.41,G.Nut
14.09,77.69,6.3,0.06,2.08,51,612,122,0.59,7.11,0.56,17.07,G.Nut
14.09,77.69,6.25,0.07,1.98,42,1016,172,0.35,7.29,0.6,17.39,G.Nut
14.1,77.7,6.32,0.09,1.32,62,825,309,0.23,4.45,0.58,7.64,G.Nut
14.08,77.69,7.91,0.21,2.21,60,1977,216,0.18,3.23,0.82,5.71,G.Nut
14.08,77.69,7.76,0.2,2.06,58,1428,102,0.18,2.8,0.47,6.81,G.Nut
14.08,77.69,8.2,0.11,2.14,46,3193,76,0.12,2.25,0.56,4.44,G.Nut
14.08,77.69,6.29,0.09,1.34,60,799,290,0.28,4.94,0.61,10.05,G.Nut
14.08,77.69,8.22,0.13,1.56,73,2761,75,0.16,2.89,0.89,7.55,G.Nut
14.08,77.69,5.66,0.04,1.32,28,1080,219,0.25,11.71,0.7,23.15,G.Nut
14.1,77.7,6.55,0.05,3.0,50,724,80,0.36,8.78,0.53,5.81,G.Nut
14.1,77.69,6.34,0.08,2.31,37,819,92,0.55,12.0,0.76,29.67,G.Nut
14.09,77.69,7.8,0.12,4.36,53,2473,84,0.22,6.02,0.53,10.32,G.Nut
14.09,77.69,6.97,0.12,3.45,67,1429,303,0.37,8.7,1.57,18.78,G.Nut
14.06,77.64,7.45,0.13,3.78,95,948,78,0.6,4.63,0.5,10.34,G.Nut
14.06,77.64,7.17,0.03,1.41,71,907,84,0.21,3.99,0.54,9.22,G.Nut
14.06,77.64,8.25,0.11,1.49,82,2683,92,0.25,2.83,0.63,6.04,G.Nut
14.06,77.64,8.65,0.11,1.72,62,1658,131,0.27,2.96,0.45,6.29,G.Nut
14.06,77.64,6.8,0.07,1.46,66,1022,225,0.22,9.67,0.78,11.86,G.Nut
14.06,77.64,6.01,0.08,3.4,57,318,70,0.78,7.12,0.35,13.23,G.Nut
14.06,77.65,8.4,0.14,11.51,117,2748,274,0.32,2.51,0.82,3.56,G.Nut
14.06,77.65,8.23,0.08,2.23,112,2179,63,0.25,2.47,0.85,5.26,G.Nut
14.07,77.65,7.03,0.07,3.29,117,859,128,0.27,6.06,0.81,9.03,G.Nut
14.12,77.65,8.51,0.18,6.86,79,1087,167,0.37,1.89,0.36,3.29,G.Nut
14.13,77.66,5.31,0.06,2.98,75,394,66,0.29,10.26,0.41,14.88,G.Nut
14.11,77.65,8.3,0.1,7.57,89,2276,203,0.31,3.72,0.57,2.59,G.Nut
14.11,77.65,8.15,0.13,11.18,96,2561,151,0.49,4.06,0.56,4.26,G.Nut
14.12,77.65,8.2,0.31,10.72,86,1965,213,0.36,9.02,0.73,8.31,G.Nut
14.13,77.65,8.57,0.16,14.39,93,2642,426,0.53,9.1,0.71,2.94,G.Nut
14.12,77.65,9.02,0.44,8.78,117,2374,684,1.05,9.75,1.32,2.89,G.Nut
14.12,77.65,7.9,0.19,19.0,265,1925,444,0.97,2.48,1.2,10.55,G.Nut
14.11,77.65,8.71,0.35,3.61,84,1524,542,0.36,2.59,0.62,5.99,G.Nut
14.11,77.65,7.48,1.59,7.67,117,1398,244,0.55,2.53,0.52,11.4,G.Nut
14.11,77.65,5.2,0.09,16.32,103,166,35,0.42,9.67,0.37,8.03,G.Nut
14.12,77.64,8.65,0.41,9.47,76,2380,711,1.06,7.15,0.79,3.53,G.Nut
14.12,77.64,8.05,0.11,3.62,53,2915,124,0.49,1.34,0.34,1.86,G.Nut
14.13,77.65,6.2,0.04,2.66,76,384,86,0.29,4.16,0.51,6.77,G.Nut
14.12,77.65,8.01,0.06,6.79,59,1150,158,0.28,4.18,0.48,3.67,G.Nut
14.12,77.65,8.5,0.16,7.22,70,1414,198,0.6,6.89,0.41,3.29,G.Nut
14.12,77.65,8.2,0.53,8.55,149,2693,590,0.58,7.88,1.0,4.36,G.Nut
