Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
9.62,9.66,7.88,0.44,0.64,8.62,138,6659,1827,43.46,0.72,1.35,28.36,blackgram
9.08,14.56,7.78,0.43,0.48,9.3,135,6927,2096,50.2,0.52,1.31,26.88,blackgram
11.54,26.12,7.6,1.19,0.76,17.61,196,6467,1894,220.13,1.4,2.18,41.66,blackgram
6.58,14.74,8.0,0.56,0.99,43.82,246,4020,843,88.85,1.08,1.34,41.46,blackgram
5.3,20.06,7.76,1.08,0.41,13.09,158,6333,1943,236.08,0.5,1.28,20.32,blackgram
2.22,11.84,8.2,0.81,0.23,9.22,82,3064,442,154.61,0.2,0.56,15.82,blackgram
8.0,22.46,8.13,2.21,0.81,34.54,169,4249,973,253.95,1.24,1.61,31.24,blackgram
8.5,20.02,7.98,0.67,0.9,35.9,154,4704,947,88.21,0.9,1.35,38.06,blackgram
10.6,12.64,7.71,0.73,0.7,19.38,161,6514,2003,65.23,1.24,1.72,40.94,blackgram
11.38,21.66,7.95,0.61,0.9,17.22,220,9217,3730,77.7,0.94,2.08,32.1,blackgram
12.38,15.56,7.31,3.0,0.66,23.27,208,5833,2106,246.6,0.6,2.47,46.06,blackgram
11.0,26.16,7.21,4.05,0.9,44.89,228,6098,1996,995.94,1.2,3.08,62.08,blackgram
5.6,10.38,7.55,3.2,0.51,9.83,115,5515,2031,389.22,0.44,2.06,18.28,blackgram
10.06,42.74,6.81,4.16,0.72,36.91,209,5659,1777,769.98,1.06,3.15,47.18,blackgram
13.08,64.04,7.0,5.1,0.92,20.28,249,5622,2037,464.3,1.3,2.66,67.7,blackgram
12.86,20.34,7.23,2.77,0.84,32.6,232,5950,2149,503.55,0.84,3.16,49.36,blackgram
10.16,20.14,7.13,0.87,0.65,28.69,183,4841,1727,156.66,1.7,2.89,58.06,blackgram
8.74,14.34,7.36,1.2,0.66,22.99,148,5355,1779,210.39,0.76,2.58,41.62,blackgram
