Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
0.52,7.98,8.7,0.24,0.21,17.71,188,1057,283,24.67,0.16,0.95,2.86,cotton
1.45,32.77,6.71,0.05,0.24,3.26,68,519,145,3.62,0.38,0.19,14.74,cotton
1.68,17.74,6.37,0.07,0.47,52.31,128,480,90,3.6,1.24,0.42,33.75,cotton
1.63,57.62,5.3,0.08,0.24,2.67,151,605,173,6.21,0.8,0.26,35.3,cotton
1.19,28.71,6.0,0.13,0.51,12.8,285,1011,229,6.62,0.69,0.46,22.94,cotton
0.96,32.85,5.85,0.15,0.37,1.64,163,879,231,12.51,0.41,0.24,18.34,cotton
2.85,12.9,7.95,0.47,0.73,29.5,286,4605,728,19.35,1.82,1.46,6.78,cotton
1.6,16.12,8.2,0.36,0.66,17.9,238,8836,532,28.67,0.46,1.04,7.82,cotton
1.9,18.67,7.63,2.1,0.52,31.7,364,7718,755,32.64,1.02,1.11,7.1,cotton
2.3,7.74,8.36,0.55,0.54,12.7,229,6000,725,34.23,0.84,1.52,10.05,cotton
1.37,8.84,7.82,0.71,0.37,25.8,251,8414,872,28.36,0.81,1.06,3.78,cotton
3.66,23.79,7.96,1.17,0.53,20.3,263,8758,723,40.21,0.84,0.94,6.93,cotton
2.45,7.39,8.02,0.33,0.86,15.2,191,7502,450,13.21,0.48,0.84,3.66,cotton
2.63,8.02,8.0,0.64,0.83,27.4,280,8078,822,55.28,1.26,1.68,6.59,cotton
1.85,6.87,7.78,0.71,0.62,46.5,306,8567,493,21.22,1.35,1.29,6.41,cotton
3.0,8.74,7.98,0.42,0.62,29.3,341,7125,348,11.87,1.65,1.01,3.07,cotton
1.72,6.5,7.98,0.36,0.6,16.9,224,5194,469,11.02,0.44,0.99,12.25,cotton
1.39,4.63,8.14,0.32,0.41,6.1,128,7387,529,23.86,0.43,0.81,7.52,cotton
2.4,9.29,8.4,0.63,0.69,21.6,156,3897,496,65.28,0.87,1.56,20.11,cotton
1.96,6.79,8.25,0.27,0.46,11.5,245,7919,731,15.53,0.5,1.16,3.04,cotton
1.1,3.9,8.21,0.34,0.27,8.0,123,7162,1129,21.84,0.64,1.03,7.86,cotton
4.87,4.25,8.23,0.35,0.47,10.5,218,6805,736,20.58,4.11,1.31,4.12,cotton
1.03,4.05,8.48,0.31,0.18,4.0,116,6178,1184,17.42,0.52,0.87,5.99,cotton
1.05,6.0,8.16,0.49,0.3,12.1,187,7379,870,24.52,0.36,0.95,2.35,cotton
1.29,5.85,8.36,0.36,0.29,11.8,158,6772,1207,21.06,0.47,1.15,5.93,cotton
1.36,6.01,8.23,0.28,0.44,13.0,172,6016,631,19.76,0.63,1.1,3.09,cotton
1.62,8.86,8.3,0.19,0.38,7.7,183,7577,657,11.98,0.45,0.96,2.18,cotton
1.69,7.43,8.05,1.51,0.38,8.3,154,7485,856,162.59,0.58,2.09,3.39,cotton
1.54,4.16,8.02,0.44,0.44,12.6,161,7194,522,23.23,1.32,1.02,2.0,cotton
2.76,5.99,8.16,0.16,0.63,13.2,194,3957,282,9.36,0.85,1.01,6.17,cotton
2.32,4.91,8.17,0.42,0.75,16.5,214,4402,293,36.62,1.35,1.3,3.21,cotton
2.13,5.99,7.95,0.44,0.55,18.9,237,3706,205,40.16,1.26,1.23,7.77,cotton
2.33,26.47,7.23,1.42,0.39,43.1,224,4193,367,119.43,1.88,0.96,5.44,cotton
1.51,4.85,8.12,0.33,0.45,14.3,233,7173,559,14.96,0.6,0.94,4.7,cotton
1.49,4.68,7.99,0.45,0.54,18.6,263,7256,483,27.26,0.75,0.84,2.32,cotton
3.71,8.95,8.37,0.44,0.56,22.5,685,2618,171,32.23,3.74,0.98,2.44,cotton
0.81,7.98,8.75,0.28,0.34,6.1,215,4426,536,10.18,0.12,0.98,3.33,cotton
1.39,7.45,8.49,0.2,0.38,7.0,191,5265,568,7.65,0.21,0.9,5.33,cotton
1.18,4.88,8.5,0.25,0.4,3.8,162,6017,819,10.34,0.24,0.79,5.79,cotton
2.57,4.7,8.1,0.3,0.68,18.9,261,5572,269,19.24,0.45,0.81,2.01,cotton
2.46,5.87,8.16,0.28,0.42,28.8,183,2894,158,12.73,0.39,0.53,3.36,cotton
1.49,5.8,7.88,0.61,0.56,25.5,285,8315,1150,45.66,0.72,1.22,8.21,cotton
1.29,6.45,8.13,0.27,0.43,11.3,233,7600,1020,11.57,0.66,1.14,5.19,cotton
1.78,6.99,8.07,0.47,0.42,8.1,222,7894,1028,61.94,0.41,0.97,12.23,cotton
1.5,11.81,8.36,0.65,0.49,10.1,182,6933,1128,78.72,0.77,1.66,5.74,cotton
3.42,13.66,8.3,0.41,0.56,18.5,322,7018,912,38.8,1.05,1.6,5.81,cotton
2.58,8.48,8.25,1.17,0.52,15.7,293,5767,1126,259.67,1.07,3.55,16.67,cotton
2.11,4.5,8.16,0.29,0.43,12.2,141,7770,813,11.75,0.77,1.08,5.89,cotton
1.78,9.93,7.91,0.7,0.48,22.9,230,8045,786,29.22,1.06,1.0,3.83,cotton
1.83,5.14,8.07,0.32,0.59,48.2,305,7995,765,11.7,1.71,1.25,2.86,cotton
2.85,5.45,8.04,0.92,0.7,29.6,176,7316,1124,124.36,2.69,2.08,12.02,cotton
1.97,6.14,8.05,0.29,0.5,15.3,170,8835,685,21.2,0.48,1.2,7.59,cotton
3.32,5.52,8.16,0.29,0.48,14.3,138,7186,803,17.43,2.39,1.28,7.29,cotton
1.52,11.97,8.0,0.51,0.51,16.2,151,8433,568,37.36,0.68,1.17,4.5,cotton
2.05,9.77,8.12,0.37,0.53,31.8,147,5078,383,15.3,3.37,1.3,3.2,cotton
3.92,38.51,7.8,1.17,0.97,60.9,357,6243,491,192.8,1.73,2.24,4.31,cotton
2.39,15.31,8.14,0.31,0.59,35.3,196,6870,459,25.94,1.64,1.14,8.29,cotton
4.09,31.96,7.97,0.95,0.82,42.7,652,6173,725,79.19,2.61,1.8,5.6,cotton
