Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
0.5,3.48,8.65,0.16,0.29,6.62,94,2298,373,6.34,0.18,0.77,7.82,jonna
1.53,21.7,7.0,0.04,0.19,1.31,90,1404,140,2.71,0.27,0.39,11.95,jonna
0.91,8.96,8.05,0.13,0.33,3.08,130,2723,322,3.33,0.32,0.62,6.56,jonna
0.52,2.95,8.35,0.07,0.19,2.49,76,2449,37,1.42,0.17,0.48,2.01,jonna
0.69,19.54,7.25,0.23,0.27,47.2,123,718,222,15.08,1.94,0.53,6.61,jonna
1.95,6.06,7.46,1.99,0.56,53.6,134,1673,410,233.99,1.09,0.79,40.66,jonna
0.1,0.05,7.2,0.69,0.76,49.6,244,1303,167,32.83,0.05,0.86,0.08,jonna
1.7,22.5,7.88,0.8,0.62,9.8,197,1160,300,59.88,4.64,0.67,9.39,jonna
1.15,13.57,7.83,0.39,0.22,11.2,68,2513,409,84.12,0.51,0.41,11.02,jonna
0.63,16.75,7.32,0.18,0.3,50.0,121,657,212,11.31,1.71,0.56,5.86,jonna
1.18,5.78,8.0,1.08,0.4,54.0,89,937,267,160.27,1.54,0.54,7.83,jonna
0.47,23.0,5.92,0.58,0.22,67.4,319,500,152,112.31,0.53,0.38,10.4,jonna
1.77,5.09,8.19,0.57,0.65,24.0,93,2254,384,71.99,1.37,0.76,38.4,jonna
0.98,5.86,7.93,0.28,0.4,29.4,136,1824,378,7.73,1.0,0.51,7.11,jonna
0.94,13.18,7.7,0.26,0.41,37.2,155,1057,285,27.0,2.11,0.47,3.95,jonna
1.04,13.16,8.07,0.82,0.5,65.4,120,1512,368,132.66,2.91,0.7,3.91,jonna
0.8,18.17,6.23,0.06,0.31,2.4,49,804,189,4.53,0.32,0.34,12.44,jonna
0.96,6.71,7.91,0.24,0.55,40.0,102,1692,392,9.13,1.54,0.6,3.85,jonna
1.23,17.35,7.28,1.34,0.65,65.6,303,1654,444,228.74,2.94,0.7,7.4,jonna
1.74,17.48,7.99,0.24,0.81,88.8,260,2524,459,16.76,1.94,0.88,24.42,jonna
1.4,3.87,7.98,0.55,0.62,75.0,94,2123,458,22.77,1.56,0.84,7.92,jonna
1.01,8.64,8.34,0.17,0.42,43.8,44,1272,291,16.4,1.7,0.95,28.3,jonna
1.14,6.01,7.67,0.2,0.51,62.8,101,1066,305,13.19,2.13,0.52,8.98,jonna
2.95,20.61,8.04,0.39,0.49,74.4,134,1751,406,35.66,4.15,0.93,12.93,jonna
0.4,15.04,5.16,0.04,0.17,7.4,44,334,111,2.59,0.4,0.25,10.51,jonna
1.09,4.61,7.8,0.19,0.25,37.0,57,1586,395,14.52,1.41,0.51,4.9,jonna
0.44,3.93,8.21,0.25,0.11,20.2,30,1800,314,13.19,0.68,0.33,3.03,jonna
1.1,7.39,8.03,0.2,0.34,5.6,57,1883,329,6.12,0.43,0.49,14.64,jonna
2.03,26.56,7.56,0.58,0.48,74.4,258,910,233,25.24,4.35,0.92,10.73,jonna
0.53,4.28,8.2,0.24,0.64,10.4,44,2126,243,12.23,0.45,0.33,4.22,jonna
1.11,7.9,8.37,0.17,0.27,20.2,57,1354,222,8.22,1.37,0.47,7.96,jonna
1.54,3.59,8.14,0.41,0.83,6.2,137,3149,529,16.17,2.05,1.0,11.5,jonna
1.16,10.27,6.92,0.14,0.45,26.4,54,1900,445,6.47,0.84,0.37,15.86,jonna
1.46,10.22,7.46,0.07,0.48,35.8,90,1402,496,4.35,1.92,0.66,12.18,jonna
1.22,16.19,5.83,0.05,0.3,1.4,40,574,179,3.63,0.45,0.28,9.7,jonna
2.44,15.3,7.61,0.13,0.5,31.8,123,1699,425,10.9,0.85,0.78,25.78,jonna
1.17,18.89,7.57,0.45,0.58,55.4,161,1432,413,8.71,4.34,0.48,10.02,jonna
