Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
1.08,8.03,7.63,0.16,0.43,45.2,132,1100,220,12.06,3.2,0.53,7.47,maize
1.43,9.23,6.85,0.27,0.54,80.6,142,997,253,19.03,5.37,0.62,14.41,maize
0.94,11.71,7.25,0.35,0.47,51.4,83,1241,314,26.03,2.15,0.57,5.63,maize
1.81,9.9,8.6,0.37,0.68,22.94,231,3056,1259,19.84,0.51,2.0,20.71,maize
1.42,12.99,8.15,1.06,0.29,3.85,84,2258,486,7.64,0.34,1.05,3.37,maize
2.69,21.91,7.98,0.95,0.94,20.46,221,2231,517,33.38,3.28,1.81,6.7,maize
0.95,19.0,8.16,0.16,0.4,5.12,51,756,229,4.26,0.24,0.83,7.1,maize
1.07,19.92,8.5,0.27,0.4,7.48,69,1445,361,8.82,0.36,1.27,7.08,maize
0.93,10.22,8.23,0.36,0.13,6.08,105,1356,258,8.11,0.37,0.5,5.49,maize
1.06,68.09,6.35,1.75,0.46,15.89,103,1261,399,73.98,0.64,0.93,9.3,maize
2.69,17.0,7.9,2.15,0.89,40.5,305,2744,629,60.04,1.83,2.45,35.84,maize
1.98,15.21,8.16,1.41,0.78,22.59,159,2553,641,33.07,1.67,1.81,21.61,maize
12.26,22.6,7.65,1.26,0.83,13.26,167,6570,1871,236.06,1.78,2.01,39.34,maize
5.48,12.62,8.17,0.68,0.66,12.76,102,4343,877,130.78,0.38,1.05,39.24,maize
14.16,64.3,6.38,1.51,1.1,34.32,288,6237,2304,540.15,1.88,3.38,99.76,maize
11.8,37.1,6.75,5.56,0.92,28.63,205,6008,2322,467.07,1.26,2.49,57.58,maize
10.82,27.32,7.4,1.1,0.86,61.92,203,5181,1622,195.7,1.48,2.56,66.84,maize
6.58,5.5,8.21,0.5,0.71,12.21,86,3827,867,179.91,0.4,1.6,28.26,maize
6.82,14.72,8.16,0.59,0.67,20.67,186,5304,913,296.48,0.9,1.68,34.34,maize
