Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
0.69,19.59,7.26,0.18,0.48,4.0,45,746,185,7.36,1.73,0.54,7.61,mulberry
1.54,5.55,8.18,0.48,0.63,85.4,178,2364,343,57.69,2.12,0.98,9.17,mulberry
0.97,9.72,8.02,0.13,0.35,33.6,113,1284,344,8.46,1.17,0.54,3.93,mulberry
1.25,20.4,7.25,0.06,0.29,12.8,45,56,19,1.65,1.01,0.31,7.74,mulberry
1.28,15.41,8.0,0.11,1.16,11.8,64,2247,465,4.38,1.68,0.65,6.11,mulberry
1.26,4.41,8.15,0.13,0.39,24.4,51,2546,499,5.31,1.59,0.64,4.59,mulberry
2.04,5.34,7.61,1.16,1.38,41.6,173,3510,636,300.77,1.97,1.04,16.3,mulberry
1.31,7.05,7.34,0.44,0.24,3.6,68,2018,271,4.51,1.09,0.52,7.59,mulberry
0.83,9.56,6.74,0.06,0.32,9.2,43,645,179,5.16,7.3,0.34,7.98,mulberry
1.33,13.73,7.62,0.17,0.34,6.0,68,2425,319,6.33,1.11,0.65,9.37,mulberry
3.02,15.6,7.14,0.57,0.59,9.2,70,1631,401,130.78,1.59,0.92,54.36,mulberry
1.6,48.5,7.54,0.35,1.47,74.0,229,1658,356,19.04,5.04,0.86,15.11,mulberry
1.87,33.68,7.18,0.24,0.63,20.0,165,785,246,18.61,11.39,1.11,9.07,mulberry
1.75,13.4,7.76,0.26,0.63,29.6,40,963,231,29.13,3.76,0.31,19.04,mulberry
1.12,17.47,7.62,0.16,0.86,47.4,152,1546,393,9.34,3.52,0.96,7.89,mulberry
0.69,5.83,7.95,0.42,0.4,13.2,50,2158,468,97.87,2.45,0.39,4.03,mulberry
0.96,17.98,7.17,2.73,0.59,95.0,208,1605,433,181.06,4.67,0.71,5.89,mulberry
0.93,33.02,4.45,0.08,0.26,15.39,62,172,18,9.51,1.86,0.45,26.58,mulberry
