Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
0.66,6.5,8.15,0.11,0.46,4.27,140,2469,254,4.65,0.37,1.06,4.17,paddy
0.24,17.1,6.65,0.06,0.44,1.38,140,962,204,3.11,0.21,0.48,8.1,paddy
0.65,23.29,7.18,0.19,0.98,2.6,65,1100,302,11.51,12.72,0.65,12.45,paddy
2.53,6.7,8.1,0.22,0.36,2.4,117,2725,518,14.81,0.62,0.55,19.49,paddy
1.86,7.67,7.74,0.14,0.57,4.0,121,1705,327,6.29,0.58,0.48,20.65,paddy
2.45,12.19,6.88,0.18,0.59,44.0,123,956,263,8.98,2.53,0.34,26.97,paddy
1.72,47.76,5.93,0.08,0.39,2.12,77,734,169,7.12,0.47,0.51,24.27,paddy
2.4,33.52,5.33,0.08,0.58,7.36,87,527,133,12.0,1.47,0.35,84.06,paddy
1.26,41.51,6.14,0.05,0.2,6.97,79,640,134,2.47,0.59,0.29,28.04,paddy
2.39,49.15,5.88,0.17,0.64,3.86,198,1133,294,17.74,1.1,0.81,47.54,paddy
2.63,22.38,5.77,0.06,0.31,6.3,60,648,112,8.95,0.62,0.49,71.21,paddy
2.76,31.3,5.56,0.17,0.68,8.13,168,861,157,12.71,1.29,0.64,69.56,paddy
2.1,52.74,5.5,0.15,0.98,6.17,182,795,150,8.67,1.39,0.41,72.27,paddy
1.18,24.01,7.46,0.3,0.72,22.12,392,923,205,16.19,1.24,0.71,11.42,paddy
3.75,14.94,7.95,0.5,1.18,6.67,145,3043,374,56.31,0.89,0.65,37.88,paddy
2.79,22.66,6.45,0.25,0.52,3.83,102,704,136,42.25,0.8,0.19,52.88,paddy
2.6,38.54,6.15,0.05,0.42,9.2,69,449,126,2.41,0.87,0.29,49.06,paddy
2.19,19.74,6.12,0.29,0.77,58.83,165,483,155,11.14,2.56,0.5,97.83,paddy
2.53,36.15,6.15,0.15,0.54,4.72,161,973,267,9.75,0.75,0.48,27.6,paddy
2.43,65.02,6.3,0.12,0.69,14.92,160,703,156,4.81,1.24,0.5,66.19,paddy
2.86,65.46,5.8,0.16,0.76,8.33,224,1039,263,4.11,0.8,0.42,35.03,paddy
2.43,81.19,6.33,0.04,0.46,5.11,84,316,101,1.04,0.91,0.23,37.43,paddy
2.89,33.61,6.16,0.08,0.47,53.09,187,755,129,3.89,2.04,0.18,118.09,paddy
2.21,36.72,5.96,0.06,0.5,2.56,139,791,139,1.89,0.48,0.32,36.97,paddy
1.87,24.73,7.7,0.13,0.47,1.77,144,1337,294,3.74,0.48,0.33,20.03,paddy
