Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
0.71,5.36,7.43,1.46,0.57,39.6,149,1572,478,172.17,1.55,0.75,2.3,potato
0.88,6.01,7.53,0.83,0.85,64.4,270,1528,306,206.76,1.98,0.7,16.17,potato
0.73,23.98,6.15,0.64,0.31,53.2,168,734,208,74.66,1.42,0.43,9.61,potato
0.84,6.13,7.34,0.22,0.53,22.2,92,1108,244,10.34,0.96,0.52,14.03,potato
1.09,11.94,7.14,1.99,0.86,3.4,57,823,180,698.15,0.82,0.56,11.48,potato
1.47,6.99,8.44,0.25,0.41,68.2,46,1510,424,17.69,1.38,0.62,5.4,potato
0.79,3.36,8.02,0.47,0.32,36.0,54,2445,440,29.34,1.13,0.62,2.15,potato
1.29,8.0,8.0,0.31,0.7,71.8,151,1745,488,20.54,1.77,1.31,3.67,potato
1.08,6.2,8.11,0.28,0.57,69.6,182,1505,406,20.5,2.64,1.02,5.44,potato
1.29,8.3,8.33,0.26,0.56,91.8,118,1786,415,24.3,1.6,1.01,17.44,potato
1.11,5.68,8.06,0.25,0.4,26.4,90,1352,385,20.94,1.25,0.76,3.88,potato
1.4,9.07,7.41,1.12,0.71,116.2,275,1794,524,65.48,3.03,1.1,7.0,potato
1.5,7.94,7.93,0.32,0.47,60.4,113,1255,272,18.36,2.93,0.65,5.53,potato
1.05,6.56,8.03,0.12,0.22,24.2,58,1560,114,2.25,0.53,0.18,4.78,potato
1.99,22.54,6.49,0.23,0.76,52.8,90,2188,735,29.0,2.67,0.46,33.95,potato
1.26,10.31,6.3,0.4,0.45,79.6,179,820,211,67.44,4.81,0.84,8.97,potato
1.26,10.48,7.49,0.39,0.62,8.2,451,1321,418,27.04,3.01,1.31,11.77,potato
0.69,6.81,8.01,0.13,0.13,19.6,49,719,243,5.78,0.7,0.24,3.79,potato
1.39,1.75,7.82,0.51,0.83,16.8,44,2353,198,38.56,13.65,0.51,8.83,potato
1.22,3.23,7.34,0.09,0.3,24.8,105,484,114,7.9,2.4,0.2,10.77,potato
1.59,14.33,6.47,0.11,0.27,22.6,62,556,139,9.65,0.92,0.26,29.41,potato
0.9,4.14,7.69,0.37,0.48,25.2,49,923,205,33.39,3.95,0.31,3.44,potato
2.29,15.31,7.64,0.16,0.74,26.6,72,1593,243,9.96,2.58,0.53,12.65,potato
1.02,13.96,6.95,0.1,0.35,4.0,48,1010,179,6.68,0.49,0.22,6.14,potato
0.9,8.1,7.12,0.14,0.73,24.4,83,680,155,8.7,4.96,0.37,7.25,potato
0.61,5.35,6.47,0.09,0.34,2.2,51,624,89,3.61,0.5,0.17,8.4,potato
0.49,6.4,7.07,0.12,0.39,13.0,62,479,117,7.27,1.02,0.23,6.77,potato
0.48,1.8,8.38,0.09,0.51,7.4,15,819,131,8.37,0.65,0.09,4.05,potato
1.41,10.95,7.13,0.53,0.65,33.4,59,1068,248,31.67,7.52,0.36,14.35,potato
1.14,7.24,7.83,0.36,0.46,43.8,84,1423,330,30.49,2.35,0.43,7.82,potato
1.23,6.78,7.74,0.15,0.56,34.6,131,884,234,11.07,2.15,0.39,5.58,potato
0.92,11.08,6.81,0.27,0.35,24.8,49,1016,269,14.88,0.97,0.3,9.99,potato
2.23,13.49,7.5,0.64,1.14,41.0,302,1279,289,25.31,12.63,0.56,6.01,potato
1.05,15.14,6.94,0.06,0.33,14.8,79,534,147,3.55,2.16,0.16,7.72,potato
0.9,8.34,7.77,0.13,0.22,16.4,54,869,241,8.11,1.06,0.14,6.7,potato
3.71,33.65,6.95,0.07,0.66,71.2,150,1187,370,151.9,7.41,0.51,11.94,potato
2.1,11.68,7.6,0.93,1.44,100.2,229,1982,518,135.0,13.34,2.44,9.4,potato
2.07,12.0,7.46,0.37,0.61,79.2,131,1511,482,24.34,4.1,0.47,8.1,potato
1.39,12.74,7.53,1.07,0.84,146.4,258,2344,596,58.05,4.68,1.34,8.71,potato
2.01,8.67,7.93,0.44,0.92,121.6,157,1980,574,41.42,2.68,0.98,10.65,potato
0.83,7.11,7.7,0.45,0.47,97.2,328,640,208,21.37,2.71,0.72,4.81,potato
1.67,11.29,7.89,0.78,0.59,79.0,135,2813,419,86.33,1.61,0.93,8.05,potato
0.43,2.17,8.29,0.08,0.16,8.8,16,1011,160,9.72,0.56,0.16,4.5,potato
