Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
1.42,12.44,8.32,0.39,0.71,8.15,306,2527,681,13.53,0.74,1.33,3.44,sugarcane
3.6,3.9,8.27,0.52,0.66,20.64,159,2541,937,39.25,0.7,1.72,34.78,sugarcane
1.12,9.14,8.25,0.24,0.32,10.73,115,1996,386,8.7,0.82,0.89,2.76,sugarcane
0.8,11.3,8.26,0.15,0.37,10.4,69,1297,329,6.96,1.06,0.57,13.24,sugarcane
0.84,9.7,8.35,0.16,0.33,8.99,116,2318,527,5.05,1.08,0.81,13.72,sugarcane
0.68,15.52,7.62,0.21,0.29,61.48,169,1038,340,8.31,2.08,0.69,5.26,sugarcane
1.86,10.78,8.92,0.36,0.3,3.48,143,1740,669,14.12,0.7,1.21,11.14,sugarcane
1.22,12.92,7.82,0.1,0.32,8.56,178,2790,495,1.94,0.58,1.14,11.4,sugarcane
2.44,7.86,8.75,0.5,0.61,7.58,108,1455,443,45.46,0.62,1.89,19.02,sugarcane
2.92,18.74,7.88,0.14,0.73,10.86,169,1971,661,5.85,0.78,1.23,41.52,sugarcane
1.1,15.0,7.68,0.08,0.51,7.22,96,1477,345,2.75,0.7,0.72,14.3,sugarcane
0.7,6.02,8.25,0.13,0.16,2.53,93,2566,216,3.43,0.44,0.66,3.54,sugarcane
1.48,22.4,7.09,0.1,0.76,10.15,83,1884,328,4.23,0.76,0.69,26.58,sugarcane
0.78,14.18,8.05,0.1,0.34,6.68,276,941,332,2.6,0.76,0.86,5.8,sugarcane
1.64,9.82,8.07,0.13,0.8,5.28,150,2461,470,5.53,0.74,1.01,18.14,sugarcane
0.58,11.62,7.98,0.06,0.3,6.73,52,817,190,2.05,0.64,0.51,4.22,sugarcane
0.54,45.58,5.94,0.08,0.22,2.33,88,1054,184,11.68,0.36,0.53,6.54,sugarcane
0.58,19.24,7.51,0.18,0.29,2.1,47,1772,273,4.84,0.34,0.25,13.02,sugarcane
1.34,11.78,8.25,0.12,0.31,2.02,73,2365,415,2.71,0.34,0.81,14.58,sugarcane
0.98,17.18,7.38,0.11,0.61,13.56,152,1558,209,5.64,0.64,0.67,10.18,sugarcane
0.72,33.46,5.37,0.08,0.14,6.56,60,303,63,4.25,0.68,0.36,27.12,sugarcane
2.12,28.6,7.77,0.17,0.37,5.5,88,2720,856,5.96,0.32,1.24,23.2,sugarcane
0.54,21.98,6.58,0.07,0.13,2.43,75,290,122,2.51,0.42,0.48,12.22,sugarcane
0.78,24.36,7.57,0.1,0.16,8.69,93,589,163,2.86,0.54,0.41,11.98,sugarcane
0.98,9.26,8.28,0.18,0.51,7.87,69,2606,429,4.13,0.22,0.66,7.58,sugarcane
3.22,57.64,6.65,0.08,0.53,5.01,237,1579,451,9.54,1.14,1.19,49.9,sugarcane
2.3,17.02,7.8,0.09,0.5,4.32,80,1517,548,3.31,0.44,1.25,24.2,sugarcane
1.88,22.62,7.42,0.1,0.39,2.92,212,1842,465,2.43,0.52,0.51,17.56,sugarcane
0.7,13.84,7.82,0.07,0.27,4.51,80,526,288,2.76,0.62,1.09,7.26,sugarcane
2.82,33.78,6.77,0.16,1.38,13.67,262,1519,441,9.44,1.36,1.37,64.2,sugarcane
2.06,27.6,7.55,0.14,0.53,10.3,329,1355,348,8.98,0.74,1.15,29.18,sugarcane
0.76,31.34,5.95,0.03,0.25,11.71,90,303,69,1.76,0.62,0.19,46.76,sugarcane
1.1,17.1,7.7,0.11,0.23,1.84,92,1915,574,3.07,0.12,0.86,10.48,sugarcane
1.2,41.98,6.08,0.05,0.26,2.06,170,863,243,3.2,0.42,0.56,25.82,sugarcane
1.68,9.9,8.62,0.31,0.28,2.37,86,959,463,18.3,0.18,3.1,13.62,sugarcane
0.74,38.38,5.6,0.03,0.2,1.7,127,250,94,1.48,0.32,0.34,19.56,sugarcane
1.46,21.82,6.48,0.08,0.32,3.4,74,551,189,4.98,0.36,0.63,22.3,sugarcane
1.02,37.26,6.0,0.04,0.21,2.1,141,378,170,2.96,0.26,0.31,29.34,sugarcane
2.16,33.74,6.81,0.12,1.16,5.63,185,1120,322,5.51,0.86,1.08,44.62,sugarcane
1.96,22.66,7.28,0.09,0.74,8.4,115,1648,553,3.42,0.48,1.76,28.86,sugarcane
2.08,19.06,6.97,0.09,0.54,9.16,91,995,328,3.38,0.56,1.35,41.0,sugarcane
2.64,21.48,7.65,0.17,0.68,7.77,200,1314,482,3.48,0.68,1.96,34.78,sugarcane
0.68,17.24,8.38,2.52,0.43,14.57,2037,869,223,184.3,0.86,1.84,6.26,sugarcane
1.2,18.5,7.71,0.18,0.69,26.41,385,842,277,6.24,1.86,0.95,11.14,sugarcane
1.42,23.46,7.29,0.11,0.76,10.78,250,1248,310,6.63,1.18,1.1,16.16,sugarcane
0.94,27.56,7.12,0.1,0.41,14.02,186,661,180,4.4,1.2,0.67,28.14,sugarcane
0.7,28.8,5.76,0.02,0.21,4.15,49,259,91,1.36,0.44,0.16,37.42,sugarcane
2.12,39.7,6.2,0.06,0.78,5.65,143,959,383,5.05,0.72,0.88,65.24,sugarcane
2.02,39.38,6.18,0.07,0.79,5.57,140,869,359,5.46,0.68,0.87,65.14,sugarcane
1.4,23.36,7.1,0.1,0.67,8.93,127,948,298,5.1,0.7,1.11,33.3,sugarcane
1.8,85.64,5.91,0.05,0.67,3.25,201,722,304,1.21,0.48,0.57,33.12,sugarcane
1.02,56.84,5.83,0.18,0.09,2.24,63,601,146,4.65,0.62,0.52,46.16,sugarcane
0.42,31.84,5.13,0.18,0.15,1.87,87,341,131,3.15,0.52,0.46,12.62,sugarcane
0.6,11.68,8.26,0.15,0.2,19.57,67,538,279,4.79,0.68,0.68,6.04,sugarcane
0.42,22.82,6.85,0.15,0.43,7.23,51,468,161,6.0,1.04,0.35,16.1,sugarcane
2.56,12.28,7.62,0.33,0.58,17.13,137,1026,308,11.08,1.16,1.58,31.74,sugarcane
0.89,7.18,6.92,0.07,0.4,38.7,58,566,87,2.42,1.15,0.38,41.76,sugarcane
