Avail_Cu,Avail_Mn,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Crop_type
1.05,12.62,8.32,0.14,0.14,2.34,116,939,165,4.48,0.19,0.32,8.02,sunflower
3.21,10.99,8.32,0.67,0.81,24.37,342,3088,573,56.31,1.12,2.14,26.98,sunflower
2.09,13.16,8.82,0.4,0.34,6.34,287,3267,818,21.2,0.46,1.82,11.44,sunflower
3.34,8.44,8.2,0.54,0.93,35.36,302,3592,548,52.03,1.18,1.82,34.21,sunflower
2.53,11.87,8.33,0.36,0.57,22.52,242,3434,572,21.53,0.67,1.44,27.47,sunflower
1.91,15.03,8.95,0.45,0.29,5.16,203,3100,736,24.38,0.68,2.15,12.96,sunflower
0.41,13.52,5.11,0.05,0.12,2.99,27,372,109,4.47,0.17,0.37,9.55,sunflower
0.88,5.48,7.9,0.17,0.62,9.84,118,2037,348,6.15,0.32,0.58,5.8,sunflower
0.84,6.4,9.05,25.2,0.37,9.03,99,1874,120,447.88,0.33,7.89,4.52,sunflower
0.95,12.0,8.31,2.66,0.39,7.35,96,2457,500,166.74,0.28,1.58,8.8,sunflower
1.61,31.45,8.02,0.5,1.05,9.92,345,3547,336,32.69,0.86,1.79,2.8,sunflower
0.52,4.13,9.04,1.02,0.02,1.66,128,1845,155,21.86,0.28,1.89,2.79,sunflower
1.35,10.18,8.55,0.17,0.34,0.9,128,2366,299,20.67,0.28,1.01,10.37,sunflower
2.11,11.33,8.65,0.28,0.69,17.35,478,3176,314,12.51,1.25,1.28,18.12,sunflower
1.73,16.56,8.88,0.53,0.53,24.92,178,2621,571,34.4,0.6,2.36,21.79,sunflower
1.36,12.64,8.77,0.54,0.28,7.24,173,2430,265,11.67,0.49,1.58,5.74,sunflower
1.6,12.05,8.35,0.51,0.25,5.14,124,2334,221,33.75,0.52,0.99,5.63,sunflower
2.95,19.46,7.83,1.78,1.03,20.72,154,1858,448,248.27,0.79,3.62,29.81,sunflower
1.31,11.06,7.97,1.35,0.22,10.06,158,1743,337,34.39,0.28,1.23,8.11,sunflower
2.04,25.59,8.0,1.54,0.84,27.74,161,1948,614,44.49,1.2,3.02,7.42,sunflower
2.29,54.67,8.14,1.68,0.91,18.94,635,1868,561,68.84,1.29,3.62,8.29,sunflower
2.67,21.28,8.27,1.41,0.56,23.11,255,2284,678,86.88,1.24,2.31,35.6,sunflower
1.25,16.62,8.26,0.23,0.51,15.61,143,4813,252,13.17,0.6,1.04,3.71,sunflower
1.11,17.53,8.18,1.33,0.44,4.24,187,6655,699,27.92,0.31,1.82,9.14,sunflower
0.82,7.6,8.88,0.37,0.4761699916874477,2.65,127,6739,505,13.59,0.25,1.31,5.84,sunflower
1.34,12.51,8.56,0.23,0.41,5.09,126,7029,272,5.92,0.33,0.86,4.75,sunflower
1.13,9.74,8.75,0.26,0.31,4.69,237,7385,684,5.78,0.4,1.26,10.28,sunflower
1.37,17.58,8.29,0.22,0.43,9.35,174,5642,279,11.65,0.44,0.68,7.32,sunflower
1.27,12.04,8.31,0.17,0.44,7.86,149,5481,295,5.29,0.45,0.56,6.11,sunflower
1.12,7.21,8.93,0.26,0.31,2.53,200,7558,758,3.05,0.34,0.92,11.16,sunflower
1.07,13.29,8.8,0.3,0.37,4.16,237,6708,543,8.05,0.38,1.3,9.29,sunflower
0.82,8.41,8.45,0.2,0.26,7.76,165,4920,231,27.56,1.41,0.45,5.59,sunflower
